uid,home,away,start_msk,start_utc,text_url,source
897651,"Локомотив","ЦСКА","2025-10-15T19:34:00+03:00","2025-10-15T16:34:00+00:00","https://text.khl.ru/text/897651.html","text"
897655,"Барыс","Авангард","2025-10-16T05:24:00+03:00","2025-10-16T02:24:00+00:00","https://text.khl.ru/text/897655.html","text"
897653,"Драконы","Динамо М","2025-10-16T09:03:00+03:00","2025-10-16T06:03:00+00:00","https://text.khl.ru/text/897653.html","text"
897654,"Сибирь","Ак Барс","2025-10-16T18:00:00+03:00","2025-10-16T15:00:00+00:00","https://text.khl.ru/text/897654.html","text"
897652,"Металлург Мг","Салават Юлаев","2025-10-16T22:41:00+03:00","2025-10-16T19:41:00+00:00","https://text.khl.ru/text/897652.html","text"
897656,"Динамо Мн","Нефтехимик","2025-10-17T07:35:00+03:00","2025-10-17T04:35:00+00:00","https://text.khl.ru/text/897656.html","text"
897657,"Амур","Лада","2025-10-17T12:15:00+03:00","2025-10-17T09:15:00+00:00","https://text.khl.ru/text/897657.html","text"
897658,"ХК Сочи","Автомобилист","2025-10-17T18:32:00+03:00","2025-10-17T15:32:00+00:00","https://text.khl.ru/text/897658.html","text"
897659,"Адмирал","Спартак","2025-10-17T19:01:00+03:00","2025-10-17T16:01:00+00:00","https://text.khl.ru/text/897659.html","text"
897660,"Торпедо","ЦСКА","2025-10-17T20:52:00+03:00","2025-10-17T17:52:00+00:00","https://text.khl.ru/text/897660.html","text"
897663,"Трактор","Салават Юлаев","2025-10-18T14:00:00+03:00","2025-10-18T11:00:00+00:00","https://text.khl.ru/text/897663.html","text"
897662,"Барыс","Ак Барс","2025-10-18T16:25:00+03:00","2025-10-18T13:25:00+00:00","https://text.khl.ru/text/897662.html","text"
897714,"СКА","Локомотив","2025-10-18T18:07:00+03:00","2025-10-18T15:07:00+00:00","https://text.khl.ru/text/897714.html","text"
897667,"Амур","Северсталь","2025-10-19T02:40:00+03:00","2025-10-18T23:40:00+00:00","https://text.khl.ru/text/897667.html","text"
897668,"Торпедо","Лада","2025-10-19T07:52:00+03:00","2025-10-19T04:52:00+00:00","https://text.khl.ru/text/897668.html","text"
897666,"Авангард","Автомобилист","2025-10-19T19:04:00+03:00","2025-10-19T16:04:00+00:00","https://text.khl.ru/text/897666.html","text"
897665,"Металлург Мг","Нефтехимик","2025-10-19T23:09:00+03:00","2025-10-19T20:09:00+00:00","https://text.khl.ru/text/897665.html","text"
897670,"ЦСКА","Динамо Мн","2025-10-20T11:32:00+03:00","2025-10-20T08:32:00+00:00","https://text.khl.ru/text/897670.html","text"
897669,"Динамо М","Локомотив","2025-10-20T14:57:00+03:00","2025-10-20T11:57:00+00:00","https://text.khl.ru/text/897669.html","text"
897673,"Спартак","Драконы","2025-10-21T03:22:00+03:00","2025-10-21T00:22:00+00:00","https://text.khl.ru/text/897673.html","text"
897674,"Адмирал","Северсталь","2025-10-21T12:30:00+03:00","2025-10-21T09:30:00+00:00","https://text.khl.ru/text/897674.html","text"
897672,"Салават Юлаев","Трактор","2025-10-21T22:38:00+03:00","2025-10-21T19:38:00+00:00","https://text.khl.ru/text/897672.html","text"
897671,"Сибирь","Металлург Мг","2025-10-21T23:45:00+03:00","2025-10-21T20:45:00+00:00","https://text.khl.ru/text/897671.html","text"
897677,"ХК Сочи","Торпедо","2025-10-22T01:14:00+03:00","2025-10-21T22:14:00+00:00","https://text.khl.ru/text/897677.html","text"
897676,"СКА","ЦСКА","2025-10-22T02:58:00+03:00","2025-10-21T23:58:00+00:00","https://text.khl.ru/text/897676.html","text"
897678,"Лада","Динамо Мн","2025-10-22T18:00:00+03:00","2025-10-22T15:00:00+00:00","https://text.khl.ru/text/897678.html","text"
897675,"Ак Барс","Локомотив","2025-10-22T19:00:00+03:00","2025-10-22T16:00:00+00:00","https://text.khl.ru/text/897675.html","text"
897679,"Сибирь","Салават Юлаев","2025-10-23T15:30:00+03:00","2025-10-23T12:30:00+00:00","https://text.khl.ru/text/897679.html","text"
897687,"Барыс","Амур","2025-10-24 17:30","2025-10-24 14:30","https://text.khl.ru/text/897687.html","ics"
897684,"Лада","Торпедо","2025-10-24 18:00","2025-10-24 15:00","https://text.khl.ru/text/897684.html","ics"
897686,"Динамо Мн","Драконы","2025-10-24 19:10","2025-10-24 16:10","https://text.khl.ru/text/897686.html","ics"
897685,"СКА","ХК Сочи","2025-10-24 19:30","2025-10-24 16:30","https://text.khl.ru/text/897685.html","ics"
897688,"Сибирь","Трактор","2025-10-25 13:30","2025-10-25 10:30","https://text.khl.ru/text/897688.html","ics"
897689,"Нефтехимик","Салават Юлаев","2025-10-25T14:00:00+03:00","2025-10-25T11:00:00+00:00","https://text.khl.ru/text/897689.html","text"
897690,"Ак Барс","Адмирал","2025-10-25T17:00:00+03:00","2025-10-25T14:00:00+00:00","https://text.khl.ru/text/897690.html","text"
